project,category,fund,funding_source,fiscal_year,amount,status
Genesee Rd reconstruction (Atherton to Court),Major Streets,Major Streets,Act 51,2027,3200000,Planned
Industrial Parks road project,Major Streets,Major Streets,Act 51,2027,2000000,Planned
Court St (Genesee to city limits),Major Streets,Major Streets,Act 51,2027,1200000,Planned
Covert Rd (Davison to city limits),Major Streets,Major Streets,Act 51,2027,1147837,Planned
Genesee Rd sidewalk project,Major Streets,Major Streets,Act 51,2027,647326,Planned
Iron Belle Trail (Maple to Hemphill),Major Streets,Major Streets,Act 51,2027,630000,Planned
Maple Ave (Dort to Center),Major Streets,Major Streets,Act 51,2027,260150,Planned
Hemphill Rd (city limits to Saginaw),Major Streets,Major Streets,Act 51,2027,212000,Planned
Genesee Rd (Davison to Potter),Major Streets,Major Streets,Act 51,2027,150000,Planned
Bristol Rd (Saginaw to Dort),Major Streets,Major Streets,Act 51,2027,120000,Planned
N Grand Traverse (Bristol to Hemphill),Major Streets,Major Streets,Act 51,2027,100000,Planned
Non-motorized project,Major Streets,Major Streets,Act 51,2027,75000,Planned
Genesee Rd (Court to Davison),Major Streets,Major Streets,Act 51,2027,35000,Planned
Belsay Rd (Lapeer to I-69),Major Streets,Major Streets,Act 51,2027,20000,Planned
Burton Estates paving,Local Streets,Local Streets,Act 51,2027,500000,Planned
Homestead-Buder paving (CDBG),Local Streets,Local Streets,Grant,2027,250000,Planned
Fire capital projects,Public Safety,Fire Capital Projects,General Fund,2027,260000,Planned
DPW building to store equipment,Facilities & Equipment,Motor Pool,Other,2027,400000,In progress
Four 10-yard dump trucks with plow,Facilities & Equipment,Motor Pool,Other,2027,1120000,In progress
Sewer televising truck,Facilities & Equipment,Motor Pool,Other,2027,500000,Planned
One-ton utility truck with bucket,Facilities & Equipment,Motor Pool,Other,2027,500000,Planned
Two patrol vehicles (Tahoe),Facilities & Equipment,Police,General Fund,2027,140000,Planned
DPW security improvements,Facilities & Equipment,Motor Pool,Other,2027,153515,In progress
Senior Center improvements (ARPA),Facilities & Equipment,Senior Center,Grant,2027,100000,Planned
Clerk's office security upgrades,Facilities & Equipment,General Fund,General Fund,2027,50000,In progress
IT office equipment,Facilities & Equipment,Information Technology,General Fund,2027,40000,Planned
Assessor vehicle (Equinox),Facilities & Equipment,General Fund,General Fund,2027,28000,Planned
